"Y-coordinate","Electric Potential"
"-0.02","1.8231119642128201E-4"
"-0.019996","1.823608258639894E-4"
"-0.019992","1.8241046250379192E-4"
"-0.019988","1.8246010633448482E-4"
"-0.019984","1.825097573306195E-4"
"-0.019979999999999998","1.8255941549708314E-4"
"-0.019975999999999997","1.8260908081066187E-4"
"-0.019971999999999997","1.8265875326659625E-4"
"-0.019967999999999996","1.8270843285650548E-4"
"-0.019963999999999996","1.8275811956451263E-4"
"-0.019959999999999995","1.828078133859969E-4"
"-0.019955999999999995","1.8285751431055527E-4"
"-0.019951999999999994","1.82907222320495E-4"
"-0.019947999999999994","1.829569374168114E-4"
"-0.019943999999999993","1.830066595810952E-4"
"-0.019939999999999992","1.8305638880214834E-4"
"-0.019935999999999992","1.8310612507559543E-4"
"-0.01993199999999999","1.8315586838587634E-4"
"-0.01992799999999999","1.832056187198698E-4"
"-0.01992399999999999","1.8325537607506042E-4"
"-0.01991999999999999","1.8330514043817336E-4"
"-0.01991599999999999","1.8335491179345768E-4"
"-0.01991199999999999","1.8340469013884846E-4"
"-0.019907999999999988","1.8345447545596325E-4"
"-0.019903999999999988","1.8350426774111454E-4"
"-0.019899999999999987","1.8355406697441034E-4"
"-0.019895999999999987","1.836038731572429E-4"
"-0.019891999999999986","1.836536862697734E-4"
"-0.019887999999999986","1.8370350630268555E-4"
"-0.019883999999999985","1.8375333324299037E-4"
"-0.019879999999999984","1.8380316709011753E-4"
"-0.019875999999999984","1.8385300782246668E-4"
"-0.019871999999999983","1.83902855432481E-4"
"-0.019867999999999983","1.8395270991121874E-4"
"-0.019863999999999982","1.8400257125338238E-4"
"-0.019859999999999982","1.8405243943617411E-4"
"-0.01985599999999998","1.841023144480551E-4"
"-0.01985199999999998","1.8415219629328193E-4"
"-0.01984799999999998","1.8420208494666657E-4"
"-0.01984399999999998","1.8425198040353523E-4"
"-0.01983999999999998","1.8430188265173707E-4"
"-0.01983599999999998","1.843517916808513E-4"
"-0.019831999999999978","1.8440170747666525E-4"
"-0.019827999999999978","1.8445163003370386E-4"
"-0.019823999999999977","1.8450155933274866E-4"
"-0.019819999999999977","1.8455149537533876E-4"
"-0.019815999999999976","1.8460143813981949E-4"
"-0.019811999999999975","1.8465138761669843E-4"
"-0.019807999999999975","1.8470134379990226E-4"
"-0.019803999999999974","1.8475130667205123E-4"
"-0.019799999999999974","1.848012762278077E-4"
"-0.019795999999999973","1.8485125245362065E-4"
"-0.019791999999999973","1.8490123533424117E-4"
"-0.019787999999999972","1.849512248611818E-4"
